obs_id,x,y
0,0.031664,19.539659
1,7.240432,7.504456
2,1.890985,12.721047
3,3.262754,5.920361
4,8.694054,17.175892
5,12.698638,10.286604
6,4.336779,18.114105
7,19.987822,10.112301
8,16.490909,3.595144
9,16.885058,16.739575
10,14.032997,9.693717
11,19.405821,12.768654
12,5.713224,9.714202
13,13.636467,-0.080543
14,17.209770,14.921902
15,15.302567,9.209606
16,19.863680,10.517751
17,6.193616,3.442086
18,17.832661,15.043465
19,17.046737,5.777395
20,13.685251,8.144092
21,18.686286,4.943926
22,14.644871,16.783444
23,5.090949,13.247958
24,12.541215,18.968310
25,8.670212,15.592853
26,8.415514,6.825121
27,13.960950,4.519950
28,18.366113,8.080479
29,9.233891,1.212096
30,8.564478,11.939589
31,2.895894,10.124381
32,16.045353,3.977823
33,13.635297,12.887514
34,1.188973,3.379409
35,0.607634,0.368626
36,12.115080,5.358176
37,1.971450,9.431975
38,7.877087,17.808125
39,7.453075,13.671667
40,18.669457,2.215373
41,2.756734,8.737155
42,5.329855,15.834211
43,14.430727,15.739185
44,4.683988,11.841810
45,0.858619,14.130436
46,7.613442,18.128345
47,17.253092,4.068911
48,12.455259,15.029281
49,11.418939,7.322252
50,3.752993,1.529569
51,4.415727,17.771332
52,2.962822,19.490459
53,2.869794,9.113439
54,12.007909,17.734139
55,12.853936,8.972871
56,19.538097,1.971704
57,14.771194,1.324463
58,12.480103,12.405790
59,3.092628,0.364614
60,4.246664,11.236575
61,11.594916,7.763394
62,9.340368,8.059348
63,5.886861,18.902598
64,19.566828,14.916425
65,15.369392,5.360232
66,19.660094,5.921335
67,19.228439,4.825404
68,11.320510,0.534439
69,15.433333,0.814534
70,11.382442,16.772060
71,0.884580,7.056685
72,1.215321,7.395432
73,7.059227,3.680475
74,15.401031,17.686064
75,13.817461,15.841285
76,13.042482,15.903986
77,9.747054,15.202613
78,10.195890,15.445503
79,11.501784,17.146430
80,11.549997,17.044451
81,19.016336,9.817972
82,18.669902,10.020313
83,7.921729,12.989061
84,7.692100,12.941991
85,16.076591,3.367381
86,19.533046,7.545218
87,18.611475,2.955753
88,19.342838,3.413479
89,14.348989,1.171704
90,14.230082,0.949833
91,15.746304,16.501155
92,15.575562,17.608159
93,1.089933,12.337595
94,15.560259,3.768346
95,15.483006,3.563400
96,15.400850,4.642315
97,15.352966,4.798923
98,6.715219,3.937557
99,7.549840,8.090940
100,7.941948,7.607222
101,17.688807,17.328725
102,17.501264,17.707160
103,18.968187,10.051157
104,18.998164,10.096897
105,14.969641,1.467598
106,15.358649,1.100004
107,10.689314,7.734220
108,10.635791,7.641859
109,14.372249,4.289219
110,19.349393,7.507061
111,19.532148,8.039866
112,16.669751,15.782982
113,16.614423,16.032293
114,9.550477,14.799024
115,9.989691,14.726625
116,11.288546,7.625093
117,11.270493,7.615956
118,10.672155,1.240592
119,10.867251,1.339075
120,6.549756,4.813695
121,6.482101,4.348845
122,11.822010,19.315093
123,12.080024,19.267254
124,11.017686,11.997866
125,10.985333,11.964755
126,1.053504,4.275416
127,0.875015,4.209555
128,9.077272,4.668963
129,9.080269,4.557680
130,7.060090,8.862126
131,6.993138,9.090624
132,11.388057,8.244044
133,11.341508,8.146022
134,0.620987,11.808251
135,0.398825,12.096089
136,14.716688,4.412776
137,14.651843,4.388428
138,6.833208,0.431750
139,6.845936,0.678708
140,6.888451,14.764772
141,6.885610,14.594396
142,7.363729,1.341983
143,7.329562,1.250974
144,12.142705,10.340621
145,12.147231,10.279811
