obs_id,x,y
0,0.523841,17.691787
1,19.766198,8.206589
2,8.723551,5.780792
3,10.427154,16.216267
4,2.422949,11.702092
5,17.446184,4.433786
6,12.817716,8.082097
7,8.658033,18.698574
8,7.171111,13.894696
9,3.438135,-0.487167
10,18.834451,0.618111
11,18.425404,6.624112
12,9.730523,16.557298
13,14.813181,9.181579
14,3.434863,18.353137
15,15.971737,18.696765
16,11.218242,1.421762
17,18.915493,0.937753
18,3.250816,14.735192
19,2.850088,5.595530
20,8.787334,0.865110
21,4.552725,10.558355
22,3.039671,12.992215
23,11.987500,4.708903
24,13.366673,4.560083
25,16.038457,4.135130
26,19.903208,8.986603
27,19.441651,9.853835
28,3.113266,2.648862
29,0.651510,13.632545
30,7.509605,13.751333
31,8.875062,12.918743
32,14.569577,14.182171
33,19.309588,17.474328
34,18.967370,17.625741
35,12.733049,6.870144
36,5.010356,6.001471
37,4.092586,17.830390
38,4.195390,18.078097
39,2.765337,4.300762
40,2.680869,4.651474
41,17.315708,5.988320
42,5.708268,7.232564
43,3.704076,2.482010
44,15.886307,9.459289
45,14.868556,4.666616
46,10.455739,18.730127
47,6.349402,20.394137
48,2.969245,3.105077
49,1.993285,1.244410
50,10.750463,10.854304
51,1.429959,14.678678
52,10.701455,18.503731
53,9.953300,12.192114
54,1.355411,15.776071
55,4.687434,12.279421
56,9.927938,12.180422
57,11.224592,10.911500
58,6.387253,6.570431
59,12.527483,14.447848
60,12.663992,14.503624
61,14.101196,3.226472
62,16.748001,9.027723
63,7.692404,17.687272
64,16.344725,0.914217
65,13.558558,13.339374
66,7.204718,12.310899
67,6.450545,13.055493
68,5.984937,13.626902
69,9.598556,0.959024
70,6.073091,13.428242
71,16.804093,1.114373
72,16.464860,6.788163
73,7.677388,0.423386
74,7.026522,9.438563
75,5.032906,11.595060
76,19.863465,8.405355
77,19.785511,8.631177
78,6.625036,17.727170
79,6.250221,14.643971
80,15.933463,9.601775
81,17.577843,4.724299
82,18.023241,5.481760
83,18.426143,6.825167
84,18.256752,6.620398
85,0.873950,2.059909
86,6.394354,18.874041
87,8.460019,11.452155
88,7.465568,18.325519
89,7.129522,17.256069
90,9.631540,0.129660
91,16.254248,9.940593
92,15.422068,8.744570
93,19.820359,8.710428
94,14.287424,15.020397
95,5.063816,13.694180
96,5.273150,13.627261
97,13.096650,6.349309
98,18.004047,13.990592
99,18.296051,14.314358
100,16.852564,1.362012
101,6.291427,16.050782
102,6.113621,16.329382
