cell_id,parent_id,founder_id,birth_time,div_time,div_x,div_y
0,-1,0,0.000000,1.840794,9.224075,4.082317
1,-1,1,0.000000,0.030775,13.738668,2.755956
2,-1,2,0.000000,,,
3,-1,3,0.000000,0.979193,7.729313,6.633775
4,-1,4,0.000000,1.281371,9.922449,10.200863
5,-1,5,0.000000,1.848820,6.339552,10.744841
6,-1,6,0.000000,0.974239,2.746754,16.080263
7,-1,7,0.000000,,,
8,-1,8,0.000000,,,
9,-1,9,0.000000,0.487350,7.379618,18.664827
10,-1,10,0.000000,,,
11,-1,11,0.000000,0.210910,7.522427,9.273920
12,-1,12,0.000000,1.074722,15.210864,9.749016
13,-1,13,0.000000,0.070631,20.027327,1.578229
14,-1,14,0.000000,0.832751,16.495580,17.875748
15,-1,15,0.000000,,,
16,-1,16,0.000000,,,
17,-1,17,0.000000,1.917472,12.692848,11.068071
18,-1,18,0.000000,0.060874,11.922659,5.159753
19,-1,19,0.000000,0.130138,6.700657,3.029172
20,-1,20,0.000000,,,
21,-1,21,0.000000,,,
22,-1,22,0.000000,0.349687,12.343816,16.458947
23,-1,23,0.000000,,,
24,-1,24,0.000000,0.480180,10.652281,12.926298
25,-1,25,0.000000,0.594080,6.417468,19.134602
26,-1,26,0.000000,1.346443,6.823417,17.214759
27,-1,27,0.000000,0.525713,14.072979,16.406608
28,-1,28,0.000000,0.629480,2.769256,1.924004
29,-1,29,0.000000,,,
30,-1,30,0.000000,0.165680,18.626876,0.675567
31,-1,31,0.000000,0.306549,5.071606,2.376427
32,-1,32,0.000000,0.096290,16.946827,14.534925
33,-1,33,0.000000,0.081985,8.621668,17.259913
34,-1,34,0.000000,,,
35,-1,35,0.000000,1.966047,3.424726,7.211438
36,-1,36,0.000000,0.142193,7.938344,12.443807
37,-1,37,0.000000,,,
38,-1,38,0.000000,0.416097,1.896687,9.029446
39,-1,39,0.000000,1.582546,5.251357,9.066238
40,-1,40,0.000000,0.965850,10.756587,8.847279
41,-1,41,0.000000,0.881141,11.302774,13.108920
42,-1,42,0.000000,1.228888,18.463079,6.114904
43,-1,43,0.000000,0.167323,8.038829,16.769503
44,-1,44,0.000000,1.089459,18.462315,14.429302
45,-1,45,0.000000,0.016985,7.384151,16.805402
46,-1,46,0.000000,1.124453,12.581668,7.934192
47,-1,47,0.000000,0.440956,5.697200,12.038483
48,-1,48,0.000000,0.265866,1.914329,7.842886
49,-1,49,0.000000,1.376549,3.008278,4.534914
50,-1,50,0.000000,0.538953,8.933937,13.872622
51,-1,51,0.000000,0.736929,15.954348,8.069143
52,-1,52,0.000000,1.099956,12.902842,9.025405
53,-1,53,0.000000,,,
54,-1,54,0.000000,1.366491,3.835962,15.058845
55,-1,55,0.000000,,,
56,-1,56,0.000000,0.843945,13.825504,9.810775
57,-1,57,0.000000,1.333919,7.540458,17.169671
58,-1,58,0.000000,0.544686,14.426074,3.724612
59,-1,59,0.000000,,,
60,-1,60,0.000000,0.149299,10.201400,6.523282
61,-1,61,0.000000,0.792073,10.149983,1.372469
62,-1,62,0.000000,,,
63,-1,63,0.000000,0.380052,18.316141,9.644765
64,-1,64,0.000000,,,
65,-1,65,0.000000,,,
66,-1,66,0.000000,1.593870,10.808551,15.644846
67,-1,67,0.000000,,,
68,-1,68,0.000000,1.628402,16.689508,7.747139
69,-1,69,0.000000,0.190465,9.903069,11.732121
70,-1,70,0.000000,0.324367,5.864307,3.230389
71,-1,71,0.000000,,,
72,-1,72,0.000000,1.455226,21.864507,10.040210
73,-1,73,0.000000,,,
