cell_id,parent_id,founder_id,birth_time,div_time
0,-1,0,0.000000,0.045379
1,-1,1,0.000000,1.495450
2,-1,2,0.000000,1.516597
3,-1,3,0.000000,
4,-1,4,0.000000,1.923868
5,-1,5,0.000000,1.076212
6,-1,6,0.000000,
7,-1,7,0.000000,0.658771
8,-1,8,0.000000,
9,-1,9,0.000000,0.726811
10,-1,10,0.000000,1.643616
11,-1,11,0.000000,
12,-1,12,0.000000,
13,-1,13,0.000000,0.429600
14,-1,14,0.000000,0.610155
15,-1,15,0.000000,0.081720
16,-1,16,0.000000,
17,-1,17,0.000000,0.105863
18,-1,18,0.000000,0.116518
19,-1,19,0.000000,0.876465
20,-1,20,0.000000,0.046223
21,-1,21,0.000000,0.089892
22,-1,22,0.000000,0.182611
23,-1,23,0.000000,1.186292
24,-1,24,0.000000,0.949740
25,-1,25,0.000000,0.013434
26,-1,26,0.000000,0.049702
27,-1,27,0.000000,
28,-1,28,0.000000,0.099479
29,-1,29,0.000000,1.977144
30,-1,30,0.000000,0.236157
31,-1,31,0.000000,1.175292
32,-1,32,0.000000,0.666729
33,-1,33,0.000000,0.211451
34,-1,34,0.000000,0.352590
35,-1,35,0.000000,0.690886
36,-1,36,0.000000,0.102859
37,-1,37,0.000000,
38,-1,38,0.000000,
39,-1,39,0.000000,0.446261
40,-1,40,0.000000,
41,-1,41,0.000000,0.084486
42,-1,42,0.000000,0.978002
43,-1,43,0.000000,0.889939
44,-1,44,0.000000,1.011035
45,-1,45,0.000000,0.284793
46,-1,46,0.000000,1.237435
47,-1,47,0.000000,0.038046
48,-1,48,0.000000,0.652865
49,-1,49,0.000000,1.034709
50,-1,50,0.000000,
51,-1,51,0.000000,0.321521
52,-1,52,0.000000,1.186871
53,-1,53,0.000000,0.259723
54,-1,54,0.000000,0.426945
55,-1,55,0.000000,0.457476
56,-1,56,0.000000,1.098839
57,-1,57,0.000000,0.703002
58,-1,58,0.000000,0.556801
59,-1,59,0.000000,0.668294
60,-1,60,0.000000,0.312415
61,-1,61,0.000000,1.514361
62,-1,62,0.000000,0.439189
63,-1,63,0.000000,0.094157
64,-1,64,0.000000,
65,-1,65,0.000000,
66,-1,66,0.000000,1.957851
67,-1,67,0.000000,
68,-1,68,0.000000,
69,-1,69,0.000000,
70,-1,70,0.000000,0.173319
71,-1,71,0.000000,
72,-1,72,0.000000,1.998604
73,-1,73,0.000000,1.670081
74,-1,74,0.000000,0.547733
75,-1,75,0.000000,0.361921
76,-1,76,0.000000,0.719142
77,-1,77,0.000000,1.345037
78,-1,78,0.000000,1.762946
79,-1,79,0.000000,0.212068
80,-1,80,0.000000,1.759558
81,-1,81,0.000000,0.322405
82,-1,82,0.000000,0.020600
83,-1,83,0.000000,1.847468
84,-1,84,0.000000,0.141194
85,-1,85,0.000000,0.135775
86,-1,86,0.000000,0.606883
87,-1,87,0.000000,0.014762
88,-1,88,0.000000,0.173663
89,-1,89,0.000000,0.786739
90,-1,90,0.000000,
91,-1,91,0.000000,1.858859
92,-1,92,0.000000,1.591576
93,-1,93,0.000000,
94,-1,94,0.000000,
95,-1,95,0.000000,1.978956
96,-1,96,0.000000,0.571001
97,-1,97,0.000000,
98,-1,98,0.000000,0.491403
99,-1,99,0.000000,0.997949
100,25,25,0.013434,0.739445
101,25,25,0.013434,0.628228
102,87,87,0.014762,0.466272
103,87,87,0.014762,
104,82,82,0.020600,
105,82,82,0.020600,0.137267
106,47,47,0.038046,1.750473
107,47,47,0.038046,1.070988
108,0,0,0.045379,1.399133
109,0,0,0.045379,1.826759
110,20,20,0.046223,
111,20,20,0.046223,
112,26,26,0.049702,1.302758
113,26,26,0.049702,0.130950
114,15,15,0.081720,1.469011
115,15,15,0.081720,
116,41,41,0.084486,0.162327
117,41,41,0.084486,
118,21,21,0.089892,0.245499
119,21,21,0.089892,
120,63,63,0.094157,0.111062
