obs_id,true_cell_id
0,3
1,5
2,11
3,12
4,16
5,18
6,21
7,26
8,32
9,36
10,38
11,39
12,41
13,42
14,45
15,48
16,49
17,51
18,52
19,53
20,55
21,56
22,58
23,59
24,60
25,61
26,64
27,65
28,66
29,71
30,72
31,74
32,76
33,85
34,86
35,87
36,88
37,90
38,91
39,92
40,96
41,97
42,98
43,100
44,101
45,103
46,105
47,106
48,110
49,112
50,114
51,115
52,119
53,122
54,126
55,127
56,129
57,132
58,133
59,136
60,137
61,142
62,144
63,145
64,149
65,150
66,153
67,154
68,156
69,157
70,160
71,164
72,167
73,168
74,170
75,172
76,174
77,176
78,178
79,179
80,181
81,182
82,184
83,187
84,188
85,189
86,191
87,192
88,195
89,196
90,197
91,199
92,200
93,201
94,202
95,203
96,206
97,209
98,210
99,212
100,213
101,215
102,216
103,217
104,219
105,220
106,221
107,222
108,223
109,224
110,227
111,228
112,229
113,230
114,231
115,233
116,235
117,238
118,239
119,240
120,241
121,242
122,244
123,247
124,249
125,250
126,253
127,255
128,257
129,262
130,263
131,264
132,266
133,270
134,272
135,273
136,274
137,275
138,276
139,277
140,278
141,280
142,282
143,283
144,284
145,285
146,286
147,289
148,290
149,291
150,292
151,293
152,295
153,297
154,298
155,299
156,300
157,301
158,302
159,303
160,304
161,305
162,308
163,309
164,310
165,311
166,314
167,315
168,316
169,317
170,319
171,320
172,321
173,322
174,323
175,325
176,326
177,327
178,328
179,329
180,330
181,332
182,333
183,334
184,335
185,336
186,338
187,339
188,340
189,342
190,343
191,344
192,346
193,347
194,348
195,349
196,350
197,352
198,353
199,354
200,355
201,356
202,357
203,358
204,359
205,360
206,361
207,362
208,363
209,365
210,366
211,367
212,368
213,369
214,370
215,371
216,372
217,373
218,374
219,375
220,376
221,377
222,378
223,379
224,380
225,381
226,382
227,383
228,384
229,385
230,386
231,387
232,388
233,389
234,390
235,391
236,392
237,393
238,394
239,395
240,396
241,397
242,398
243,399
244,400
245,401
246,402
247,403
248,404
249,405
250,406
251,407
252,408
253,409
254,410
255,411
