obs_id,x,y
0,6.187423,18.241442
1,6.534425,0.907587
2,9.133414,18.984480
3,2.671685,10.173590
4,13.993680,18.103812
5,6.943566,10.109467
6,3.400547,4.445751
7,1.571469,9.977402
8,4.189699,9.489549
9,2.206944,0.694759
10,14.893561,17.683452
11,14.057969,0.391556
12,16.364944,14.090185
13,0.018373,7.674553
14,17.900831,12.019181
15,17.135254,3.695134
16,20.356095,2.702774
17,16.640449,6.333032
18,0.191185,11.976609
19,3.835322,17.014751
20,7.422052,6.607000
21,3.932287,11.437004
22,5.885992,6.703827
23,4.723196,10.290644
24,6.642882,5.331493
25,23.848271,-3.302665
26,-1.021164,19.891908
27,18.073200,12.713293
28,9.655868,-4.886725
29,7.574493,0.655768
30,5.997953,20.411829
31,12.851900,8.916001
32,4.195281,5.899864
33,5.640962,6.024707
34,10.430844,7.024765
35,10.573283,8.313196
36,8.305214,15.223895
37,19.863474,13.086462
38,15.844090,1.604094
39,10.947008,17.397765
40,-0.770155,13.503590
41,8.389219,1.827578
42,2.743371,16.182919
43,20.610559,12.808033
44,3.075346,9.797800
45,8.208700,9.775259
46,22.122665,1.064458
47,24.758753,8.672240
48,14.781928,4.138971
49,8.288868,12.909303
50,18.174864,6.518709
51,5.095890,3.749728
52,17.375935,18.685067
53,13.440817,13.722775
54,21.524506,8.317249
55,-3.367639,15.076368
56,5.084434,1.770110
57,17.714758,3.908370
58,13.449927,13.889756
59,10.343163,1.826760
60,2.144867,11.540975
61,-1.224211,10.346086
62,0.534562,13.541382
63,6.111718,3.261746
64,7.100400,7.902985
65,9.415346,21.145922
66,8.705011,19.610715
67,12.499495,4.447711
68,17.126175,4.856212
69,8.915015,9.694892
70,1.923490,-0.802737
71,6.807781,14.672735
72,1.943292,13.321797
73,3.144415,9.644192
74,6.217950,20.588174
75,2.305083,19.484558
76,9.454277,13.020958
77,4.994751,-0.292232
78,3.869827,15.708174
79,0.735297,10.796632
80,7.648522,3.471732
81,13.483405,10.075640
82,17.324822,15.957865
83,14.176418,-1.252380
84,17.721806,8.557925
85,22.093413,19.951796
86,21.903811,19.763248
