obs_id,x,y
0,8.253615,-0.406167
1,16.010719,10.410153
2,14.915574,15.444870
3,6.040437,5.620202
4,6.896912,10.847066
5,12.973709,16.163417
6,19.241494,16.453243
7,19.130579,4.231108
8,4.618538,15.796976
9,3.016320,10.794985
10,6.456365,7.985555
11,10.849735,4.621639
12,8.125677,4.892653
13,11.981635,17.287325
14,7.269487,13.047033
15,6.750936,2.517764
16,14.502212,8.297905
17,16.712936,6.654281
18,7.872525,11.081159
19,15.060120,9.140971
20,17.319389,6.178743
21,1.785920,9.485895
22,7.682741,9.906337
23,9.534396,20.213468
24,3.489949,10.788744
25,14.667418,6.566370
26,6.921532,10.981491
27,10.194007,5.191294
28,15.355895,12.656876
29,8.451544,15.980348
30,8.960724,15.506841
31,11.131792,16.475547
32,4.489560,6.525994
33,7.454222,2.325997
34,6.875409,10.182033
35,9.089499,17.528449
36,12.672174,12.267885
37,11.577054,9.858476
38,13.871098,19.878469
39,16.380378,9.662804
40,11.745948,6.754939
41,13.523646,2.269788
42,17.366606,18.285123
43,1.086451,5.795635
44,2.416881,5.905170
45,18.022197,18.000097
46,15.145024,2.154093
47,18.988563,7.228521
48,16.118714,2.163376
49,2.558326,18.266056
50,7.360417,17.908689
51,4.756941,11.344654
52,15.437821,18.967683
53,5.542969,13.537967
54,19.774627,2.001471
55,17.207386,1.762518
56,5.319080,19.818939
57,3.451826,10.647175
58,5.704511,19.547844
59,1.915871,19.685391
60,8.558365,11.387440
61,7.442863,1.346843
62,4.533221,2.522904
63,17.623928,4.680163
64,3.658054,15.187905
65,11.497196,15.408984
66,17.864325,3.843961
67,16.059534,18.105067
68,0.954861,19.898725
69,14.203848,0.122761
70,10.589002,13.385184
71,9.452105,12.829662
72,18.613753,11.786503
73,18.416318,18.302660
74,17.797516,18.655816
75,12.385689,17.847334
76,12.355317,17.726979
77,5.094188,13.119097
78,4.592609,13.075479
79,1.510815,11.342687
80,1.593583,11.608980
81,8.430551,1.101717
82,8.446256,0.590604
83,18.024428,19.423305
84,18.270167,19.895065
85,11.577825,8.699338
86,11.638097,8.560437
87,18.283836,12.120651
88,18.067690,11.911226
89,9.318195,8.978061
90,9.076992,8.834361
91,13.080138,10.113917
92,12.707970,11.157853
93,13.287535,3.495354
94,13.715837,3.712601
95,13.772825,3.275211
96,13.775462,4.548767
97,11.143266,4.634310
98,11.251571,4.516142
99,9.809742,19.882289
100,10.257665,19.674552
101,7.924596,17.578313
102,8.043922,17.342920
103,8.095094,0.731092
104,7.597409,0.562162
105,2.107677,1.665295
106,8.197631,5.054047
107,8.165604,5.486418
108,13.481542,17.465972
109,13.524196,17.150547
110,12.714142,3.227658
111,12.581526,3.124806
112,2.332152,8.017170
113,2.025219,8.349014
114,12.246080,14.212455
115,12.388197,14.043632
116,11.552622,4.674868
117,11.474701,4.833687
118,2.439502,1.512501
119,13.580033,10.829703
120,13.752885,10.879879
121,12.300159,8.994196
122,12.068998,8.927473
123,7.228423,4.709835
124,7.202358,4.572910
125,12.653144,5.974056
126,12.555253,6.087285
127,14.331226,2.499774
128,14.263979,2.572411
129,0.631776,18.410656
130,1.029045,4.501502
131,0.900539,4.700599
132,1.784895,2.885435
133,1.654598,2.839168
134,0.449855,18.583785
135,0.439378,18.656642
136,0.595007,18.575737
137,0.588509,18.528047
138,2.344355,1.251319
139,2.338779,1.282818
