obs_id,x,y
0,16.486962,4.748385
1,9.381485,7.950950
2,11.537542,3.493042
3,17.361662,10.230884
4,14.723633,17.312461
5,20.323337,15.453251
6,18.993244,7.012640
7,2.717295,19.173846
8,5.723201,5.497172
9,3.842122,8.739972
10,0.631187,3.944783
11,7.189003,5.323062
12,16.134886,5.624969
13,2.414848,11.866568
14,19.831684,13.968548
15,18.484282,8.680098
16,4.772782,8.542347
17,13.159061,1.383072
18,17.537247,8.686586
19,19.295841,2.677859
20,1.013840,6.397693
21,12.383017,14.871331
22,18.555002,17.227328
23,16.376934,4.223879
24,2.744338,0.718977
25,4.006548,12.858598
26,0.017108,12.841103
27,10.057966,7.314326
28,16.656030,7.785776
29,7.013640,6.072216
30,6.912012,5.898779
31,9.217066,14.837720
32,11.064324,11.661296
33,16.369685,8.106524
34,18.953028,15.027697
35,14.051179,11.526250
36,9.247067,16.697048
37,11.570707,7.112913
38,19.780247,4.053885
39,2.504412,0.807177
40,8.507520,6.370833
41,1.935205,11.780943
42,9.174683,7.582964
43,3.387551,18.294693
44,0.720370,7.369837
45,2.259353,13.873951
46,19.456899,6.923115
47,0.652999,10.889064
48,7.243430,6.766837
49,1.850638,10.825316
50,8.120613,16.954672
51,8.459833,19.958184
52,3.337609,3.109457
53,3.271958,1.684147
54,11.956189,19.798685
55,12.012979,18.799194
56,18.274988,5.046173
57,18.395129,5.703066
58,6.074389,9.202900
59,3.742699,7.621760
60,4.216060,7.028545
61,16.233821,12.094814
62,16.746192,11.520031
63,14.407286,15.248313
64,14.263718,14.802300
65,5.001626,4.728896
66,17.724432,18.403704
67,17.343775,12.593705
68,17.640214,13.555609
69,7.748790,6.712005
70,7.812025,6.388594
71,1.683812,9.621754
72,1.222010,1.890381
73,0.832729,1.985283
74,0.106986,6.087911
75,19.707742,-0.172627
76,18.926866,0.328680
77,18.116449,14.447091
78,18.609811,14.796208
79,3.627309,2.032146
80,3.939905,2.385917
81,3.359086,17.919264
82,16.240078,18.952059
83,9.413548,11.024553
84,1.193310,12.707553
85,0.513704,7.202205
86,0.348073,6.414844
87,7.901263,15.191027
88,9.933864,10.392451
89,1.652762,8.408652
90,0.936313,9.134801
91,7.827267,4.167719
92,7.683875,4.707674
93,15.185512,18.519486
94,15.711670,18.560001
95,14.457228,3.145633
96,3.626176,19.177978
97,0.443670,7.616495
98,0.437055,7.712398
99,5.939517,6.616546
100,6.303430,6.121256
101,12.597855,8.493202
102,8.131246,0.227088
103,7.728361,0.387203
104,10.337156,16.179730
105,14.153170,3.346078
106,12.453556,2.207848
107,7.705223,15.181114
108,10.316554,15.255007
109,9.286491,10.018760
110,9.677361,9.145737
111,4.085406,19.098138
112,3.343354,19.380679
113,12.272596,2.699623
114,12.463025,2.217289
115,12.507938,8.127293
116,12.091162,8.018175
117,4.871457,5.402557
118,10.999779,2.831619
119,11.130582,3.183321
120,2.180802,12.321809
121,2.582558,12.015620
122,1.318762,4.773347
123,0.875280,6.640350
124,0.813395,5.831270
125,7.293654,2.242421
126,16.967398,19.422663
127,3.515374,18.960305
128,3.022647,19.656904
129,10.593170,15.570867
130,11.106671,15.261881
131,13.319305,3.136391
132,14.057760,3.286846
133,18.186083,1.691659
134,17.830404,1.340225
135,11.663517,0.264029
136,4.813824,6.850049
137,4.102013,7.218902
138,9.296394,11.166831
139,9.462955,11.033368
140,5.700875,9.858043
141,5.963703,10.084077
142,9.089155,18.972021
143,8.968669,19.335902
144,6.492170,1.930943
145,6.401069,1.641261
146,4.989114,4.787753
147,4.732629,4.459529
148,16.835594,15.808124
149,16.355300,15.957758
150,3.382723,20.162764
151,3.423622,19.684870
152,1.367948,13.114384
153,1.578077,13.291777
154,9.041652,13.776021
155,8.928159,13.539180
156,19.258955,14.989306
157,18.781584,15.168320
158,11.366860,0.322025
159,11.331356,0.228852
160,17.212412,19.536895
161,17.098374,19.570107
162,6.516658,18.904107
163,6.337468,18.628448
164,17.381937,18.550059
165,17.337394,18.757212
166,3.334553,18.629011
167,15.580352,1.773601
168,15.624812,1.611360
169,12.956730,20.198247
170,13.052821,20.299708
171,12.243795,11.894810
172,12.012640,11.710814
173,3.368144,18.589498
174,3.321988,18.743814
175,2.974883,8.263080
176,2.957569,8.401256
177,8.027602,15.555272
178,8.309574,15.555788
179,3.459852,18.880654
180,6.966347,2.344916
181,6.989598,2.011394
182,3.265948,18.665860
183,3.174054,18.555142
184,12.932133,20.864959
185,12.890975,20.801356
186,0.264167,4.348571
187,0.241581,4.401607
