figure,panel,transition,method,metric,replicate,accuracy
1,exp2,0→0.5,partial,top-1,0,0.6666666666666666
1,exp2,0→0.5,covered-lp,top-1,0,0.7575757575757576
1,exp2,0.5→1,entropic-kl,top-1,0,0.7405405405405405
1,exp2,0.5→1,mm-kl,top-1,0,0.7405405405405405
1,exp2,0.5→1,mm-l2,top-1,0,0.6216216216216216
1,exp2,0.5→1,partial,top-1,0,0.6108108108108108
1,exp2,0.5→1,covered-lp,top-1,0,0.7351351351351352
1,exp2,1→1.5,entropic-kl,top-1,0,0.8856088560885609
1,exp2,1→1.5,mm-kl,top-1,0,0.8966789667896679
1,exp2,1→1.5,mm-l2,top-1,0,0.6678966789667896
1,exp2,1→1.5,partial,top-1,0,0.6531365313653137
1,exp2,1→1.5,covered-lp,top-1,0,0.8339483394833949
1,exp2,1.5→2,entropic-kl,top-1,0,0.8772845953002611
1,exp2,1.5→2,mm-kl,top-1,0,0.9007832898172323
1,exp2,1.5→2,mm-l2,top-1,0,0.7258485639686684
1,exp2,1.5→2,partial,top-1,0,0.6919060052219321
1,exp2,1.5→2,covered-lp,top-1,0,0.8668407310704961
1,exp2,0→0.5,entropic-kl,top-1,1,0.6857142857142857
1,exp2,0→0.5,mm-kl,top-1,1,0.7
1,exp2,0→0.5,mm-l2,top-1,1,0.6214285714285714
1,exp2,0→0.5,partial,top-1,1,0.6
1,exp2,0→0.5,covered-lp,top-1,1,0.6214285714285714
1,exp2,0.5→1,entropic-kl,top-1,1,0.8058252427184466
1,exp2,0.5→1,mm-kl,top-1,1,0.8106796116504854
1,exp2,0.5→1,mm-l2,top-1,1,0.7718446601941747
1,exp2,0.5→1,partial,top-1,1,0.6359223300970874
1,exp2,0.5→1,covered-lp,top-1,1,0.8009708737864077
1,exp2,1→1.5,entropic-kl,top-1,1,0.8040540540540541
1,exp2,1→1.5,mm-kl,top-1,1,0.831081081081081
1,exp2,1→1.5,mm-l2,top-1,1,0.6993243243243243
1,exp2,1→1.5,partial,top-1,1,0.6655405405405406
1,exp2,1→1.5,covered-lp,top-1,1,0.7905405405405406
1,exp2,1.5→2,entropic-kl,top-1,1,0.8940886699507389
1,exp2,1.5→2,mm-kl,top-1,1,0.8916256157635468
1,exp2,1.5→2,mm-l2,top-1,1,0.7463054187192119
1,exp2,1.5→2,partial,top-1,1,0.7118226600985221
1,exp2,1.5→2,covered-lp,top-1,1,0.8793103448275862
1,exp2,0→0.5,entropic-kl,top-1,2,0.6956521739130435
1,exp2,0→0.5,mm-kl,top-1,2,0.7101449275362319
1,exp2,0→0.5,mm-l2,top-1,2,0.644927536231884
1,exp2,0→0.5,partial,top-1,2,0.6014492753623188
1,exp2,0→0.5,covered-lp,top-1,2,0.6376811594202898
1,exp2,0.5→1,entropic-kl,top-1,2,0.8457446808510638
1,exp2,0.5→1,mm-kl,top-1,2,0.8723404255319149
1,exp2,0.5→1,mm-l2,top-1,2,0.7872340425531915
