figure,panel,transition,method,metric,replicate,accuracy
1,exp2,1→1.5,NN,top-3,7,0.8943396226415095
1,exp2,1→1.5,NN,top-3,8,0.8900709219858156
1,exp2,1→1.5,NN,top-3,9,0.8631178707224335
1,exp2,1.5→2,NN,top-1,0,0.5013054830287206
1,exp2,1.5→2,NN,top-1,1,0.5788177339901478
1,exp2,1.5→2,NN,top-1,2,0.4986737400530504
1,exp2,1.5→2,NN,top-1,3,0.4646924829157175
1,exp2,1.5→2,NN,top-1,4,0.5340314136125655
1,exp2,1.5→2,NN,top-1,5,0.4834123222748815
1,exp2,1.5→2,NN,top-1,6,0.4792176039119804
1,exp2,1.5→2,NN,top-1,7,0.5067385444743935
1,exp2,1.5→2,NN,top-1,8,0.430622009569378
1,exp2,1.5→2,NN,top-1,9,0.5267605633802817
1,exp2,1.5→2,NN,top-3,0,0.8720626631853786
1,exp2,1.5→2,NN,top-3,1,0.8940886699507389
1,exp2,1.5→2,NN,top-3,2,0.8620689655172413
1,exp2,1.5→2,NN,top-3,3,0.8246013667425968
1,exp2,1.5→2,NN,top-3,4,0.8534031413612565
1,exp2,1.5→2,NN,top-3,5,0.8649289099526066
1,exp2,1.5→2,NN,top-3,6,0.8386308068459658
1,exp2,1.5→2,NN,top-3,7,0.816711590296496
1,exp2,1.5→2,NN,top-3,8,0.8349282296650717
1,exp2,1.5→2,NN,top-3,9,0.856338028169014
2,0→2,0→2,direct,top-1,0,0.5744125326370757
2,0→2,0→2,direct,top-1,1,0.6083743842364532
2,0→2,0→2,direct,top-1,2,0.6604774535809018
2,0→2,0→2,direct,top-1,3,0.5808656036446469
2,0→2,0→2,direct,top-1,4,0.6099476439790575
2,0→2,0→2,direct,top-1,5,0.6516587677725119
2,0→2,0→2,direct,top-1,6,0.5550122249388753
2,0→2,0→2,direct,top-1,7,0.568733153638814
2,0→2,0→2,direct,top-1,8,0.6004784688995215
2,0→2,0→2,direct,top-1,9,0.5380281690140845
2,0→2,0→2,chained via exp1,top-1,0,0.6161879895561357
2,0→2,0→2,chained via exp1,top-1,1,0.6182266009852216
2,0→2,0→2,chained via exp1,top-1,2,0.649867374005305
2,0→2,0→2,chained via exp1,top-1,3,0.5945330296127562
2,0→2,0→2,chained via exp1,top-1,4,0.6596858638743456
2,0→2,0→2,chained via exp1,top-1,5,0.6706161137440758
2,0→2,0→2,chained via exp1,top-1,6,0.60880195599022
2,0→2,0→2,chained via exp1,top-1,7,0.6064690026954178
2,0→2,0→2,chained via exp1,top-1,8,0.6196172248803827
2,0→2,0→2,chained via exp1,top-1,9,0.5830985915492958
2,0→2,0→2,chained via exp2,top-1,0,0.6553524804177546
2,0→2,0→2,chained via exp2,top-1,1,0.6428571428571429
2,0→2,0→2,chained via exp2,top-1,2,0.6896551724137931
2,0→2,0→2,chained via exp2,top-1,3,0.6400911161731208
2,0→2,0→2,chained via exp2,top-1,4,0.6910994764397905
2,0→2,0→2,chained via exp2,top-1,5,0.7203791469194313
2,0→2,0→2,chained via exp2,top-1,6,0.5819070904645477
2,0→2,0→2,chained via exp2,top-1,7,0.6226415094339622
2,0→2,0→2,chained via exp2,top-1,8,0.6602870813397129
2,0→2,0→2,chained via exp2,top-1,9,0.5746478873239437
