exp,replicate,i,j,transition,method,accuracy_top1,transport_cost,mass
exp1,9,0,1,0→1,mm-kl,0.5767195767195767,0.0010814679601546563,0.9793090588225943
exp1,9,0,1,0→1,mm-l2,0.6296296296296297,0.0008705234297717379,0.9667755019425188
exp1,9,0,1,0→1,partial,0.5132275132275133,0.00023797460002450478,0.6999999999999997
exp1,9,1,2,1→2,entropic-kl,0.38309859154929576,0.003279496359103758,0.8487800175154301
exp1,9,1,2,1→2,mm-kl,0.3436619718309859,0.000778937114530605,0.9888394343376935
exp1,9,1,2,1→2,mm-l2,0.37746478873239436,0.0006167228281290017,0.9740590775836397
exp1,9,1,2,1→2,partial,0.3211267605633803,0.00014127700234795116,0.6999999999999996
exp2,0,0,1,0→0.5,entropic-kl,0.8181818181818182,0.0032390138764247295,0.8439783885828562
exp2,0,0,1,0→0.5,mm-kl,0.8106060606060606,0.0007549340996441155,0.9887759282087875
exp2,0,0,1,0→0.5,mm-l2,0.8181818181818182,0.0006949528274381354,0.9837308816884042
exp2,0,0,1,0→0.5,partial,0.6893939393939394,0.0001569408584224027,0.6999999999999997
exp2,0,1,2,0.5→1,entropic-kl,0.6972972972972973,0.003252264452493633,0.8450489153327474
exp2,0,1,2,0.5→1,mm-kl,0.654054054054054,0.0007139067657527338,0.9893622103989747
exp2,0,1,2,0.5→1,mm-l2,0.6918918918918919,0.0005387157300784461,0.980947643035657
exp2,0,1,2,0.5→1,partial,0.5405405405405406,0.00011863763233864356,0.6999999999999997
exp2,0,2,3,1→1.5,entropic-kl,0.4907749077490775,0.003249634587969461,0.848410457232106
exp2,0,2,3,1→1.5,mm-kl,0.5461254612546126,0.0005627505354238225,0.9927335428313747
exp2,0,2,3,1→1.5,mm-l2,0.5571955719557196,0.0004142115748726481,0.9835532998928063
exp2,0,2,3,1→1.5,partial,0.4944649446494465,0.00010111396129386952,0.7
exp2,0,3,4,1.5→2,entropic-kl,0.4255874673629243,0.0032206920026802027,0.8498582022982468
exp2,0,3,4,1.5→2,mm-kl,0.4412532637075718,0.00044703224501524267,0.9942102571199913
exp2,0,3,4,1.5→2,mm-l2,0.4595300261096606,0.0002961330847114207,0.9831534448612158
exp2,0,3,4,1.5→2,partial,0.38903394255874674,7.112092128442887e-05,0.7000000000000005
exp2,1,0,1,0→0.5,entropic-kl,0.8,0.0033299964761749593,0.8413293287077892
exp2,1,0,1,0→0.5,mm-kl,0.6785714285714286,0.000855885561505364,0.9865884991645697
exp2,1,0,1,0→0.5,mm-l2,0.7071428571428572,0.0007632873059629032,0.979975740785386
exp2,1,0,1,0→0.5,partial,0.6928571428571428,0.00014385943440138786,0.6999999999999998
exp2,1,1,2,0.5→1,entropic-kl,0.6504854368932039,0.003132310298497543,0.8458738652258162
exp2,1,1,2,0.5→1,mm-kl,0.6650485436893204,0.0006724532732791875,0.9905838674864961
exp2,1,1,2,0.5→1,mm-l2,0.6844660194174758,0.0005375112519067327,0.9826394837767778
exp2,1,1,2,0.5→1,partial,0.5679611650485437,0.0001106996370578559,0.6999999999999997
exp2,1,2,3,1→1.5,entropic-kl,0.5168918918918919,0.0031922855438489264,0.8463750964291921
exp2,1,2,3,1→1.5,mm-kl,0.48986486486486486,0.0006139563207032765,0.9914690374029198
exp2,1,2,3,1→1.5,mm-l2,0.5371621621621622,0.00043495199252306617,0.9800251993286423
exp2,1,2,3,1→1.5,partial,0.46959459459459457,0.00010274047442981893,0.6999999999999998
exp2,1,3,4,1.5→2,entropic-kl,0.46798029556650245,0.0033092043397260637,0.8452810342318298
exp2,1,3,4,1.5→2,mm-kl,0.5098522167487685,0.0005538336124921358,0.9933377063375216
