exp,replicate,i,j,transition,method,accuracy_top1,transport_cost,mass
exp1,8,1,2,1→2,entropic-kl,0.7583732057416268,0.0151411877432066,0.6004351715865593
exp1,8,1,2,1→2,mm-kl,0.7655502392344498,0.015901332967473585,0.748533385662967
exp1,8,1,2,1→2,mm-l2,0.5047846889952153,0.002774105499565257,0.49970129836218635
exp1,8,1,2,1→2,partial,0.6148325358851675,0.014190780718554135,0.6999999999999998
exp1,9,0,1,0→1,entropic-kl,0.5396825396825397,0.01730671768483928,0.559187349274169
exp1,9,0,1,0→1,mm-kl,0.544973544973545,0.016707308521222115,0.6679492051735421
exp1,9,0,1,0→1,mm-l2,0.42328042328042326,0.00539207111080032,0.551943611026249
exp1,9,0,1,0→1,partial,0.4021164021164021,0.02192855714129858,0.6999999999999997
exp1,9,1,2,1→2,entropic-kl,0.7492957746478873,0.013892084249447694,0.6396482125314253
exp1,9,1,2,1→2,mm-kl,0.7690140845070422,0.013429332994832208,0.793372739267836
exp1,9,1,2,1→2,mm-l2,0.6140845070422535,0.003110120043932325,0.5949656569383334
exp1,9,1,2,1→2,partial,0.6084507042253521,0.01022565146534265,0.6999999999999997
exp2,0,0,1,0→0.5,entropic-kl,0.8560606060606061,0.008541674947433738,0.6093251702418503
exp2,0,0,1,0→0.5,mm-kl,0.8560606060606061,0.00908138357475702,0.7503586488811251
exp2,0,0,1,0→0.5,mm-l2,0.5984848484848485,0.0011081752834113336,0.6847918160704671
exp2,0,0,1,0→0.5,partial,0.6590909090909091,0.011817857887272859,0.6999999999999998
exp2,0,1,2,0.5→1,entropic-kl,0.8540540540540541,0.011014257097753001,0.6761921958519792
exp2,0,1,2,0.5→1,mm-kl,0.8810810810810811,0.010051967246615194,0.8317192306244119
exp2,0,1,2,0.5→1,mm-l2,0.7945945945945946,0.003493646279836519,0.7358574592240534
exp2,0,1,2,0.5→1,partial,0.6864864864864865,0.005751565235789308,0.6999999999999997
exp2,0,2,3,1→1.5,entropic-kl,0.8819188191881919,0.010777752383113313,0.6797177147867774
exp2,0,2,3,1→1.5,mm-kl,0.9040590405904059,0.010278635956468846,0.8493967176104673
exp2,0,2,3,1→1.5,mm-l2,0.7527675276752768,0.002837429511266106,0.6914123810901244
exp2,0,2,3,1→1.5,partial,0.7011070110701108,0.005814956705207948,0.7000000000000001
exp2,0,3,4,1.5→2,entropic-kl,0.9242819843342036,0.008194154512542167,0.7013074689559355
exp2,0,3,4,1.5→2,mm-kl,0.9268929503916449,0.007121784486119641,0.8962447470695204
exp2,0,3,4,1.5→2,mm-l2,0.8120104438642297,0.0017984903173132638,0.7392474681878016
exp2,0,3,4,1.5→2,partial,0.720626631853786,0.002767545507697031,0.7000000000000006
exp2,1,0,1,0→0.5,entropic-kl,0.8214285714285714,0.009503682492414754,0.5715549821560713
exp2,1,0,1,0→0.5,mm-kl,0.8285714285714286,0.010286050861948781,0.7034024404146811
exp2,1,0,1,0→0.5,mm-l2,0.5428571428571428,0.0013679882626913594,0.6300024275316668
exp2,1,0,1,0→0.5,partial,0.6428571428571429,0.018959688306133836,0.6999999999999998
exp2,1,1,2,0.5→1,entropic-kl,0.7718446601941747,0.011931862786112357,0.6322269066572869
exp2,1,1,2,0.5→1,mm-kl,0.7815533980582524,0.01200884044537968,0.7836832676473952
exp2,1,1,2,0.5→1,mm-l2,0.6262135922330098,0.002743039664202024,0.6591104470875219
exp2,1,1,2,0.5→1,partial,0.6262135922330098,0.009272189220200396,0.6999999999999998
exp2,1,2,3,1→1.5,entropic-kl,0.8547297297297297,0.01012641668358558,0.6613529788159793
exp2,1,2,3,1→1.5,mm-kl,0.8682432432432432,0.01048444052842713,0.8374503904334711
exp2,1,2,3,1→1.5,mm-l2,0.6858108108108109,0.001762586365525805,0.6620806418520835
exp2,1,2,3,1→1.5,partial,0.6722972972972973,0.006147908834678261,0.6999999999999998
exp2,1,3,4,1.5→2,entropic-kl,0.916256157635468,0.007996180328859402,0.6743708606254397
exp2,1,3,4,1.5→2,mm-kl,0.9236453201970444,0.008534817787489567,0.8734544707128209
exp2,1,3,4,1.5→2,mm-l2,0.6995073891625616,0.0009613389471395331,0.6748270504539493
exp2,1,3,4,1.5→2,partial,0.7118226600985221,0.0037986478219095617,0.6999999999999996
exp2,2,0,1,0→0.5,entropic-kl,0.7681159420289855,0.011127974343313864,0.5987136677182865
exp2,2,0,1,0→0.5,mm-kl,0.7536231884057971,0.011767562768619398,0.7333431854352569
exp2,2,0,1,0→0.5,mm-l2,0.5869565217391305,0.003084203225469988,0.655198997220607
exp2,2,0,1,0→0.5,partial,0.6231884057971014,0.014208703907513527,0.7
exp2,2,1,2,0.5→1,entropic-kl,0.8776595744680851,0.009877677908106881,0.6537046367693873
exp2,2,1,2,0.5→1,mm-kl,0.8882978723404256,0.010125268068346809,0.8139842956828929
exp2,2,1,2,0.5→1,mm-l2,0.7021276595744681,0.0021445842162887093,0.7100947849753392
exp2,2,1,2,0.5→1,partial,0.6808510638297872,0.006304176695228736,0.6999999999999997
exp2,2,2,3,1→1.5,entropic-kl,0.8566037735849057,0.009853412240902255,0.6807473237654162
exp2,2,2,3,1→1.5,mm-kl,0.8905660377358491,0.009484524789738848,0.8552693963329074
exp2,2,2,3,1→1.5,mm-l2,0.7547169811320755,0.0023513024767266456,0.7131361091112396
exp2,2,2,3,1→1.5,partial,0.690566037735849,0.004703804435441097,0.6999999999999997
exp2,2,3,4,1.5→2,entropic-kl,0.9310344827586207,0.008442098204585547,0.6773027436868616
exp2,2,3,4,1.5→2,mm-kl,0.9257294429708223,0.008520066928403791,0.8705093513780107
exp2,2,3,4,1.5→2,mm-l2,0.7347480106100795,0.0014421371720988374,0.6865493017724824
exp2,2,3,4,1.5→2,partial,0.7161803713527851,0.004091054791613322,0.6999999999999991
exp2,3,0,1,0→0.5,entropic-kl,0.6153846153846154,0.014368810647958702,0.6011253868689688
exp2,3,0,1,0→0.5,mm-kl,0.6346153846153846,0.013650088164948258,0.7231820154639986
