figure,panel,transition,method,metric,replicate,accuracy
1,exp2,0.5→1,partial,top-1,1,0.5679611650485437
1,exp2,1→1.5,entropic-kl,top-1,1,0.5168918918918919
1,exp2,1→1.5,mm-kl,top-1,1,0.48986486486486486
1,exp2,1→1.5,mm-l2,top-1,1,0.5371621621621622
1,exp2,1→1.5,partial,top-1,1,0.46959459459459457
1,exp2,1.5→2,entropic-kl,top-1,1,0.46798029556650245
1,exp2,1.5→2,mm-kl,top-1,1,0.5098522167487685
1,exp2,1.5→2,mm-l2,top-1,1,0.5443349753694581
1,exp2,1.5→2,partial,top-1,1,0.43103448275862066
1,exp2,0→0.5,entropic-kl,top-1,2,0.8768115942028986
1,exp2,0→0.5,mm-kl,top-1,2,0.8115942028985508
1,exp2,0→0.5,mm-l2,top-1,2,0.8260869565217391
1,exp2,0→0.5,partial,top-1,2,0.7463768115942029
1,exp2,0.5→1,entropic-kl,top-1,2,0.6914893617021277
1,exp2,0.5→1,mm-kl,top-1,2,0.6808510638297872
1,exp2,0.5→1,mm-l2,top-1,2,0.7074468085106383
1,exp2,0.5→1,partial,top-1,2,0.5797872340425532
1,exp2,1→1.5,entropic-kl,top-1,2,0.4716981132075472
1,exp2,1→1.5,mm-kl,top-1,2,0.4867924528301887
1,exp2,1→1.5,mm-l2,top-1,2,0.5169811320754717
1,exp2,1→1.5,partial,top-1,2,0.4490566037735849
1,exp2,1.5→2,entropic-kl,top-1,2,0.38461538461538464
1,exp2,1.5→2,mm-kl,top-1,2,0.4297082228116711
1,exp2,1.5→2,mm-l2,top-1,2,0.47745358090185674
1,exp2,1.5→2,partial,top-1,2,0.35809018567639256
1,exp2,0→0.5,entropic-kl,top-1,3,0.8269230769230769
1,exp2,0→0.5,mm-kl,top-1,3,0.7051282051282052
1,exp2,0→0.5,mm-l2,top-1,3,0.7371794871794872
1,exp2,0→0.5,partial,top-1,3,0.6794871794871795
1,exp2,0.5→1,entropic-kl,top-1,3,0.46788990825688076
1,exp2,0.5→1,mm-kl,top-1,3,0.5137614678899083
1,exp2,0.5→1,mm-l2,top-1,3,0.5412844036697247
1,exp2,0.5→1,partial,top-1,3,0.44954128440366975
1,exp2,1→1.5,entropic-kl,top-1,3,0.4813664596273292
1,exp2,1→1.5,mm-kl,top-1,3,0.5217391304347826
1,exp2,1→1.5,mm-l2,top-1,3,0.5341614906832298
1,exp2,1→1.5,partial,top-1,3,0.41304347826086957
1,exp2,1.5→2,entropic-kl,top-1,3,0.37585421412300685
1,exp2,1.5→2,mm-kl,top-1,3,0.47380410022779046
1,exp2,1.5→2,mm-l2,top-1,3,0.4806378132118451
1,exp2,1.5→2,partial,top-1,3,0.3416856492027335
1,exp2,0→0.5,entropic-kl,top-1,4,0.837037037037037
1,exp2,0→0.5,mm-kl,top-1,4,0.8518518518518519
1,exp2,0→0.5,mm-l2,top-1,4,0.8592592592592593
1,exp2,0→0.5,partial,top-1,4,0.7481481481481481
