obs_id,x,y
0,18.125913,1.829831
1,6.191671,5.340238
2,10.943519,7.750522
3,3.813774,23.419138
4,-1.506009,13.181738
5,17.043611,19.773050
6,2.693605,19.892991
7,7.518139,16.777306
8,11.931655,6.003668
9,16.588291,5.985419
10,6.772013,7.361292
11,19.318921,5.677614
12,13.540566,9.991783
13,1.436701,1.394491
14,14.627113,15.004666
15,1.628318,13.915603
16,12.845728,0.685980
17,23.851452,2.258270
18,5.658520,7.106720
19,6.572767,15.609170
20,3.255748,17.588612
21,14.886643,0.471042
22,16.227836,3.041801
23,3.725151,10.016509
24,18.010121,0.309356
25,6.331368,11.479744
26,11.114681,8.980680
27,2.236151,11.795814
28,6.043210,2.955149
29,1.077866,5.981920
30,3.294150,16.422529
31,3.597638,3.245032
32,20.838139,10.253558
33,1.277328,12.730292
34,14.764999,10.584118
35,3.238965,18.244299
36,11.814695,2.999709
37,4.407951,6.065600
38,10.074617,1.804402
39,11.363712,13.664206
40,11.965720,-2.924515
41,-0.821932,3.404322
42,15.443821,21.401678
43,-0.096068,7.690801
44,1.866832,1.839463
45,8.735392,14.700594
46,13.884032,8.729763
47,2.711257,12.774591
48,3.364229,8.124828
49,1.864938,7.339116
50,5.570750,-1.412937
51,0.793876,7.599010
52,17.185500,14.895390
53,17.365397,9.402901
54,5.147487,8.727716
55,18.304686,18.013035
56,9.634847,12.907710
57,15.615446,-1.208918
58,7.431630,14.288142
59,6.993717,18.913649
60,17.362565,4.496980
61,16.487697,13.528108
62,15.995297,10.536158
63,8.354506,16.581326
64,4.546774,18.747942
65,2.004666,16.188171
66,2.982913,10.825709
67,-1.125691,7.448778
68,5.267943,3.933183
69,7.170177,3.112979
70,16.225788,4.756392
71,18.715399,4.483818
72,18.449073,4.894006
73,6.978241,17.030081
74,14.409839,0.519072
75,20.974295,10.551136
76,18.675305,12.097309
77,8.451682,1.885252
78,5.144667,3.475226
79,9.140368,5.620278
80,9.529155,7.995352
81,10.053714,13.839884
82,10.377922,13.509206
83,18.511083,13.568870
84,1.579602,10.131791
85,17.261284,10.970865
86,18.062753,16.159516
87,13.834545,4.962182
88,9.993405,6.297035
89,1.198259,9.693746
90,5.771299,5.454371
91,8.067695,1.832981
92,1.363534,13.871581
93,0.290901,10.760477
94,3.146768,14.475730
95,2.149492,19.675724
96,6.410371,14.702470
97,7.483654,13.501639
98,9.149981,15.799639
99,12.388882,7.218568
100,11.315087,5.858908
101,3.311169,9.163756
102,18.490023,12.692268
103,19.121177,9.538950
104,8.448168,17.408762
105,13.058925,9.757672
106,16.555939,11.453487
107,13.474617,4.853728
108,15.044754,3.749665
109,9.814904,6.807760
110,21.565618,16.107944
111,15.753887,3.594746
112,19.764078,4.395799
113,6.076383,13.551343
114,1.379347,5.651458
115,1.331290,5.209389
116,17.091101,2.502983
117,16.745567,13.464772
118,12.821908,13.829725
119,8.012993,8.501383
120,6.600034,8.133303
121,11.107537,3.484265
122,18.125537,17.696483
123,18.545448,16.031268
124,8.200935,16.615940
125,6.340404,16.696049
126,16.728963,0.706778
127,20.251792,15.292172
128,18.992343,14.303146
129,0.914869,3.238534
130,2.614928,3.303904
131,20.667926,21.641205
132,19.885286,20.807347
133,3.315640,5.666046
134,2.920357,6.430396
135,11.344683,6.125324
136,11.282759,5.730762
137,6.584283,11.321755
138,5.924177,13.821769
139,9.143708,3.423893
140,11.568020,7.060988
141,11.572945,8.515634
142,15.927990,14.806624
143,16.218001,13.425200
144,18.982720,12.396621
145,16.888184,11.357187
146,15.558099,2.078718
147,15.356027,1.640267
148,11.722182,4.888717
149,7.653447,5.823626
150,21.189474,10.253323
151,19.392096,10.812995
152,12.261038,4.522879
153,13.193679,6.386659
154,4.125757,20.594417
155,3.501597,19.693977
156,15.989688,3.901744
157,16.641042,4.010906
158,8.591420,16.436750
159,7.935746,16.823065
160,1.484489,5.940503
161,1.572187,5.982699
162,16.063610,4.950234
163,17.713700,4.857901
164,17.499801,9.318792
165,17.587463,9.944144
166,12.745560,18.620397
167,12.041383,18.556194
168,16.071024,14.505546
169,15.789044,13.902218
170,14.945572,10.448165
171,15.691745,10.629628
172,4.811156,5.679564
173,4.700362,5.318454
174,15.846325,4.742337
175,15.828571,4.557204
176,3.322434,13.621088
177,3.958776,13.186202
178,7.776513,6.318245
179,7.648516,6.147479
180,9.201447,20.897536
181,9.431222,21.039450
