obs_id,true_cell_id
0,1
1,2
2,4
3,7
4,11
5,13
6,14
7,15
8,16
9,18
10,19
11,25
12,32
13,35
14,36
15,39
16,41
17,43
18,47
19,48
20,49
21,52
22,53
23,55
24,56
25,59
26,60
27,62
28,64
29,65
30,66
31,68
32,70
33,72
34,74
35,76
36,78
37,79
38,83
39,85
40,88
41,89
42,91
43,93
44,97
45,98
46,99
47,100
48,103
49,104
50,105
51,110
52,111
53,114
54,115
55,116
56,119
57,120
58,121
59,122
60,123
61,124
62,125
63,126
64,128
65,129
66,131
67,133
68,135
69,136
70,137
71,139
72,140
73,141
74,142
75,145
76,147
77,148
78,150
79,151
80,152
81,153
82,155
83,157
84,158
85,161
86,162
87,164
88,165
89,166
90,167
91,169
92,170
93,172
94,173
95,175
96,177
97,178
98,179
99,180
100,181
101,182
102,183
103,185
104,186
105,187
106,188
107,190
108,191
109,193
110,194
111,195
112,196
113,197
114,198
115,201
116,202
117,203
118,206
119,207
120,208
121,209
122,210
123,211
124,212
125,213
126,214
127,215
128,216
129,217
130,218
131,219
132,220
133,221
134,222
135,223
136,224
137,225
138,227
139,229
140,231
141,232
142,234
143,235
144,236
145,237
146,238
147,239
148,242
149,244
150,246
151,247
152,248
153,249
154,250
155,251
156,252
157,253
158,254
159,255
160,256
161,258
162,259
163,260
164,261
165,262
166,263
167,264
168,265
169,266
170,267
171,268
172,269
173,270
174,271
175,272
176,273
177,274
178,275
179,276
180,277
181,278
182,279
183,280
184,282
185,283
186,284
187,285
188,286
189,287
190,288
191,289
192,290
193,291
194,292
195,293
196,294
197,295
