cell_id,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30
0,-0.5383816361427307,2.1006691455841064,-1.119510531425476,-1.3342504501342773,0.6867707371711731,-0.5505174994468689,-1.4992798566818237,0.49372199177742004,-0.5234652757644653,0.05544933304190636,-1.5166237354278564,0.5362721085548401,0.7071137428283691,0.790937066078186,-0.6943857669830322,1.527535319328308,-0.3422357738018036,0.44655925035476685,0.5996049642562866,0.040239933878183365,0.19201816618442535,0.45296627283096313,0.7712522149085999,-0.35672104358673096,-0.2823937237262726,-0.09173587709665298,-0.21270112693309784,0.03646823391318321,-0.5280367732048035,0.08412167429924011
1,-3.5231223106384277,-1.4921926259994507,-0.16712626814842224,-1.318235158920288,0.8919491767883301,0.7774836421012878,0.4078974723815918,-1.3742356300354004,-0.10756362229585648,-0.3741892874240875,0.8034154772758484,0.3284981846809387,-0.9566028714179993,0.3352808356285095,-0.5916281342506409,-0.09981468319892883,0.3265073001384735,-0.2589801549911499,-0.6139517426490784,0.8799946308135986,0.047058939933776855,1.1545279026031494,-0.07900232821702957,-0.0610797293484211,0.18873567879199982,-0.7471500039100647,0.2808350622653961,0.08862414211034775,0.09591402858495712,0.7786276936531067
2,-0.032438725233078,-0.13858018815517426,-0.9899954795837402,1.609307050704956,0.1434372514486313,-0.751879096031189,0.021762767806649208,-0.9182358384132385,0.4605836868286133,-0.5746541619300842,0.22681526839733124,-0.06636951863765717,-0.9445849657058716,0.14231038093566895,-0.5003731846809387,0.3455374538898468,0.6411325931549072,-1.1771957874298096,-0.18755364418029785,-0.41382959485054016,0.3288615643978119,-0.0992005467414856,0.01570296846330166,-0.6202907562255859,-0.23356860876083374,0.4987027049064636,-0.045348670333623886,0.1941749006509781,-0.3750648498535156,-0.005551621317863464
3,-1.451430082321167,-0.6181640625,0.06431052833795547,0.4758749306201935,1.3213332891464233,1.3623361587524414,-1.6802120208740234,0.006391368806362152,0.5220629572868347,-0.6487770676612854,-0.1757206916809082,-0.5435532927513123,0.22430865466594696,-0.2879165709018707,0.5005832314491272,0.11987783014774323,-0.26829418540000916,0.4197944104671478,-0.7764052152633667,-0.5329800844192505,0.06841032952070236,-0.040147021412849426,0.5346481204032898,-0.24924300611019135,0.3696382939815521,0.3845333158969879,0.33766239881515503,1.0753363370895386,-0.7171611189842224,0.25500574707984924
4,0.1703052520751953,0.024715790525078773,-1.6149271726608276,0.7874616980552673,-1.2211846113204956,0.2009359747171402,0.7899860143661499,-0.7618191242218018,1.3999502658843994,0.24866531789302826,-0.3583575487136841,-0.04515649750828743,0.13241398334503174,0.8616629838943481,0.05632845312356949,0.00818996038287878,-0.00392728578299284,0.7206270694732666,0.5087475180625916,0.5443291664123535,-0.08948644995689392,0.4675377309322357,0.1857430785894394,0.14664313197135925,0.1377444714307785,-0.30027371644973755,0.6402536034584045,-0.34115496277809143,-0.5794721841812134,0.24598553776741028
5,1.526487112045288,0.9470646381378174,-1.5990331172943115,-1.122092843055725,0.9959913492202759,-0.5046931505203247,1.3076120615005493,-0.7123507857322693,1.7922412157058716,-0.16355890035629272,-2.093585968017578,-0.6385228037834167,-0.6784466505050659,-0.6069419384002686,0.4507817327976227,-0.2242259383201599,0.21996505558490753,0.2556288242340088,0.31471508741378784,0.06548406928777695,0.05279850587248802,0.03906955197453499,0.13404211401939392,0.7090944647789001,0.14397621154785156,0.11403458565473557,0.07722783088684082,-0.4302574098110199,0.01736130565404892,0.03950285539031029
6,1.0173697471618652,1.554336667060852,-1.608510971069336,-0.6937867403030396,1.1831412315368652,-0.20074978470802307,1.8014307022094727,0.07165496796369553,0.21591651439666748,-0.0015420210547745228,-0.43524789810180664,-0.9149160385131836,-0.2855096161365509,-0.46936294436454773,-0.3767271637916565,0.29444795846939087,-0.7296484112739563,0.07380708307027817,-0.08309853821992874,0.19513796269893646,0.12416267395019531,0.33546778559684753,-0.04721902683377266,0.04308587685227394,0.0356023907661438,0.41804641485214233,0.45271578431129456,0.41825005412101746,-0.47875773906707764,0.22103507816791534
7,4.990380764007568,-0.8685921430587769,2.7649500370025635,-0.8588787913322449,-1.324198603630066,-0.2308545708656311,-0.015194017440080643,-0.478532075881958,0.2801510691642761,-0.22305604815483093,0.3800716698169708,0.4758533537387848,0.44890522956848145,-0.044885728508234024,-0.4179196059703827,-1.1631510257720947,0.980938732624054,-0.04927339777350426,-0.4812087416648865,-1.291927695274353,0.30278876423835754,-0.5988516211509705,0.5835491418838501,-0.47705671191215515,1.2731469869613647,0.1221083328127861,-0.23838825523853302,-0.12031682580709457,0.1409764140844345,0.23912279307842255
8,-1.311540961265564,0.7532907724380493,-0.26227179169654846,-1.1339997053146362,2.764390230178833,0.8906060457229614,-1.0498108863830566,-0.43306922912597656,0.9798486828804016,-1.3137670755386353,-0.5651343464851379,0.05985783413052559,0.31170186400413513,0.5507466793060303,0.15556348860263824,-0.11516577750444412,-0.2858699858188629,-0.14603659510612488,0.7538617253303528,0.2383638322353363,0.4877893626689911,-0.5281580686569214,0.5250962376594543,0.14779049158096313,-0.1987742781639099,-0.15929095447063446,0.23830509185791016,-0.5181152820587158,-0.3645569980144501,-0.04401492327451706
9,-0.06539477407932281,1.1749876737594604,0.8852758407592773,0.4147453010082245,1.570979356765747,0.1026192232966423,-0.6481614708900452,-0.6227140426635742,-0.10120734572410583,1.094290852546692,-0.32981905341148376,-0.1054157018661499,0.15138202905654907,0.5836073160171509,-0.4890226125717163,-1.0416620969772339,-0.3666834831237793,-0.2291449010372162,-0.5712164044380188,-0.4640090763568878,-0.026592841371893883,-0.16031445562839508,-0.7793225646018982,0.32183679938316345,0.15210087597370148,-0.14342474937438965,0.416766881942749,-0.33778277039527893,-0.04234222322702408,-0.13233309984207153
