cell_id,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30
0,-1.0829411745071411,-0.4647939205169678,5.103087902069092,1.9528013467788696,-0.3300103545188904,2.0784692764282227,0.9230288863182068,-1.224400520324707,-1.6610989570617676,-1.3243459463119507,0.024432998150587082,1.9998327493667603,-0.19870023429393768,-2.3511910438537598,1.7120532989501953,-1.6213648319244385,-1.9975191354751587,-1.1703276634216309,1.9480342864990234,-0.2125878930091858,-0.3064670264720917,-0.5744824409484863,-0.49027958512306213,-1.353927731513977,-0.14873230457305908,-0.838851273059845,-0.7640612721443176,0.7484425902366638,-0.014239847660064697,0.7490090131759644
1,1.7171130180358887,1.782538890838623,3.3807554244995117,1.774535894393921,-0.07687760889530182,2.6359517574310303,0.44711580872535706,2.511014938354492,1.4469915628433228,-3.1137073040008545,-0.09440795332193375,0.4873134195804596,-0.28741392493247986,-0.13566875457763672,1.0721056461334229,1.9550811052322388,-1.5819597244262695,-0.21353451907634735,-1.129066824913025,-0.002394000068306923,1.0185868740081787,1.1949493885040283,-0.2751787602901459,-0.8505052924156189,-0.18734736740589142,-0.1722436249256134,-1.5980808734893799,-1.4858907461166382,-0.675971508026123,-1.0572514533996582
2,-5.835637092590332,-1.1989474296569824,-1.6665897369384766,-1.1342222690582275,3.7549831867218018,0.1978449821472168,-2.1361923217773438,-2.554582357406616,1.5081897974014282,-1.817948341369629,-1.1707258224487305,1.383811354637146,-2.4809679985046387,0.02157697081565857,-0.4705261290073395,1.458426594734192,0.42515283823013306,-0.6239630579948425,1.0862313508987427,-0.6561362743377686,0.47329238057136536,-0.10670670121908188,0.32567352056503296,-0.42561203241348267,-0.821241021156311,-0.7517143487930298,1.011295199394226,-0.2829785645008087,-0.5252910852432251,0.3863617181777954
3,9.16661548614502,4.638060569763184,-2.1144142150878906,-3.4499387741088867,0.9995126128196716,1.8289713859558105,-0.06145447865128517,1.4954277276992798,0.7405301332473755,-1.9356573820114136,-0.4660622775554657,-1.6840354204177856,0.5066147446632385,1.689695119857788,-0.3192049264907837,0.5810899138450623,-0.48198235034942627,1.159534215927124,1.4736384153366089,0.8273892402648926,-0.8163046836853027,0.7505723834037781,-1.8477325439453125,0.22825206816196442,0.45511719584465027,0.2029513567686081,-0.40018802881240845,0.839313268661499,0.08440287411212921,0.20155896246433258
4,-4.096173286437988,-1.138554334640503,-4.124306678771973,1.721538782119751,-1.5891051292419434,1.4023849964141846,1.7442923784255981,-0.1622314751148224,1.3516215085983276,0.705829918384552,0.01773829013109207,1.6657878160476685,-0.43755412101745605,1.7484089136123657,0.8957312107086182,0.016781790181994438,0.21052855253219604,-0.37649229168891907,-0.12554022669792175,-0.07635475695133209,0.3011198937892914,1.2508747577667236,-0.31475943326950073,-0.19293825328350067,0.13866885006427765,0.8302145004272461,0.41225874423980713,1.5158191919326782,0.9916084408760071,-0.3567967414855957
5,-5.223648548126221,-1.9477442502975464,-4.583014965057373,0.7993583679199219,-2.668231725692749,1.4216408729553223,-1.7117022275924683,2.489987850189209,-0.5228463411331177,1.6070148944854736,0.28475821018218994,-1.6721768379211426,0.418461412191391,-1.0849151611328125,1.220772624015808,2.0148911476135254,-0.8807137608528137,0.4901559352874756,1.2607630491256714,1.0046511888504028,-0.826788067817688,-0.41038259863853455,-0.342588871717453,-1.490877389907837,-0.8019552826881409,0.16338162124156952,-0.7287939786911011,-0.31489482522010803,-0.4580363631248474,0.32060855627059937
6,6.272512912750244,5.068694591522217,-0.49936431646347046,0.25290265679359436,2.422635793685913,5.116871356964111,-0.4792513847351074,4.242042541503906,2.240023612976074,-3.317413568496704,-1.3867154121398926,-1.9931809902191162,1.0223523378372192,0.78171706199646,-1.9405150413513184,-0.02193336933851242,-0.7735375165939331,0.8624439239501953,-0.7876365184783936,-0.8784223198890686,0.6269360184669495,1.0790927410125732,-0.02481224201619625,-0.3030543029308319,0.7707143425941467,0.10097347944974899,-0.47645115852355957,-0.032605476677417755,0.19084584712982178,0.8585185408592224
7,1.0822649002075195,-0.6201440095901489,2.3164114952087402,3.1146605014801025,-1.8856815099716187,-2.3199164867401123,-1.590148687362671,-1.4893929958343506,0.12552878260612488,0.23659837245941162,-0.6939288377761841,0.2930326461791992,0.6019132137298584,1.4544280767440796,-0.16532784700393677,1.297580599784851,-1.6855621337890625,-0.06031229719519615,0.4335234463214874,-0.7763726115226746,-1.235796332359314,-0.3714315891265869,0.27596527338027954,0.4008552134037018,0.5299265384674072,-0.7816899418830872,0.3934682607650757,-0.9148961901664734,-0.7656719088554382,-0.5300951600074768
8,-3.539384365081787,-0.5208656787872314,-3.9187629222869873,1.449116587638855,-2.2655227184295654,1.2214049100875854,2.024484157562256,0.23626196384429932,0.975354790687561,1.2696099281311035,-0.7589346170425415,2.2360780239105225,-0.4988999366760254,1.0362684726715088,-1.0780527591705322,0.6639581918716431,-0.5039882659912109,-0.42420101165771484,-0.32107803225517273,-0.3521477282047272,-0.632040798664093,-0.07348471134901047,0.026495100930333138,1.116274118423462,-0.31029796600341797,1.2411748170852661,0.5925731062889099,-0.5259264707565308,0.48108041286468506,0.5863180756568909
9,2.603555917739868,4.595673084259033,-2.5853660106658936,1.8693394660949707,0.5419424772262573,-1.0512171983718872,-0.29209083318710327,-0.2769800126552582,-0.27336469292640686,0.580781102180481,1.7290928363800049,0.6082277297973633,0.8103886842727661,0.2709777057170868,-0.8688733577728271,1.3840200901031494,0.7209461331367493,-0.825258731842041,-0.46658527851104736,1.3774312734603882,0.13410165905952454,-0.221806138753891,0.5043768882751465,-0.7280709743499756,1.2996212244033813,0.4035903215408325,0.46038588881492615,-1.1719263792037964,0.5585769414901733,-0.6892576217651367
