obs_id,x,y
0,9.033661,15.890393
1,18.884416,16.479190
2,3.695665,5.489062
3,19.134758,0.932519
4,5.759142,12.547123
5,16.671902,12.881958
6,5.216060,7.112148
7,3.489211,15.376737
8,5.344401,6.172606
9,12.155696,6.726880
10,8.209548,14.639484
11,18.128218,17.635877
12,9.943800,13.811469
13,18.910518,8.339229
14,4.520956,1.590009
15,2.091236,16.991844
16,4.808959,3.402135
17,5.810169,4.055213
18,19.628310,10.711430
19,5.114241,4.626796
20,4.422484,16.745569
21,4.112793,11.272373
22,12.751295,2.173601
23,2.647791,8.589163
24,8.676750,7.037584
25,17.760200,4.142368
26,14.648692,8.113390
27,8.169788,1.275687
28,11.145941,16.353293
29,11.467072,16.544944
30,13.456962,13.555344
31,12.007102,1.307564
32,13.829126,14.403083
33,10.431481,17.042185
34,9.500164,16.195086
35,3.952523,17.931635
36,16.534096,12.523277
37,4.845655,19.431660
38,0.932602,18.319734
39,17.353429,11.903868
40,11.657709,11.139542
41,1.738257,12.747261
42,11.703727,7.600100
43,13.036189,8.529674
44,2.636687,6.332474
45,3.239918,8.978113
46,2.705811,13.091566
47,3.990517,15.017314
48,6.925538,18.294037
49,11.227850,0.995361
50,6.565199,7.457437
51,6.299581,4.046861
52,4.103168,17.035420
53,14.639409,7.081818
54,17.399329,8.999879
55,13.577355,13.626417
56,18.992853,10.847106
57,1.057738,6.004508
58,7.011582,5.771389
59,13.859624,-0.747539
60,7.429466,12.438265
61,11.055073,1.018000
62,11.916178,0.936674
63,4.325945,12.826773
64,17.435887,9.835123
65,17.690786,9.904143
66,11.036660,0.174157
67,8.696744,19.770654
68,13.476427,1.866732
69,6.813234,18.400826
70,2.514224,12.537779
71,19.487114,11.021317
72,13.252263,6.200971
73,18.992179,4.894821
74,19.386412,4.892204
75,13.807222,1.842082
76,3.611406,13.818879
77,0.804614,-0.375622
78,4.381847,6.344193
79,14.400904,13.470585
80,7.590504,6.122715
81,11.071597,2.125589
82,6.720552,13.030105
83,6.511069,4.064609
84,12.608851,15.224944
85,7.419605,5.784422
86,13.168740,1.711133
87,4.170212,12.780873
88,6.715612,3.851736
89,11.595739,1.780054
90,12.284462,1.865655
91,14.392046,2.246675
92,11.970184,-0.666413
93,10.432579,0.986922
94,5.719144,14.752579
95,3.165086,13.426628
96,5.804671,2.601192
97,7.503271,5.198051
98,6.808485,12.184396
99,7.091431,13.825273
100,3.884420,6.398794
101,11.914709,0.179170
102,1.288133,4.460778
103,2.149988,4.287132
104,12.481547,15.320178
105,12.388578,11.338562
106,11.392322,11.454461
107,2.349673,8.065753
108,3.090934,7.782643
109,4.603064,12.282476
110,6.756615,12.918934
111,3.875820,19.710146
112,4.468788,18.761544
113,2.136475,18.506819
114,1.487835,18.411275
115,15.638904,17.103861
116,14.381889,2.694509
117,2.291442,9.248118
118,13.504253,2.849623
119,10.226290,19.011499
120,10.221909,18.064508
121,7.679171,5.695899
122,7.684177,5.279390
123,15.581558,17.489268
124,6.076854,13.839289
125,14.340687,13.073630
126,14.287685,13.486079
127,10.298794,0.193274
128,4.715122,6.006232
129,4.532733,5.877437
130,18.951682,0.704117
131,3.690793,13.069987
132,3.702410,13.254535
133,7.323168,4.764478
134,6.723362,5.113248
135,7.359721,15.674711
136,7.240395,15.376434
137,13.751709,12.723532
138,10.294104,7.852399
139,2.819433,13.359193
140,4.073700,13.414934
141,15.405375,16.976537
142,15.235245,17.652576
143,5.690320,2.086607
144,18.051024,0.988179
145,18.148118,0.582372
146,10.889238,9.119554
147,12.215866,15.544206
148,12.075204,16.712494
149,14.889437,2.719963
150,15.031411,2.631366
151,6.453424,2.283197
152,13.313078,5.478264
153,12.676523,4.676542
154,12.420455,-0.381738
155,13.303780,-0.589898
156,4.895218,5.793550
157,14.997588,17.559719
158,15.442123,17.446743
159,9.193943,19.086906
160,16.877031,12.128457
161,16.267567,12.809171
162,11.503535,3.516154
163,12.298469,3.228007
164,15.012875,17.210651
165,12.897271,5.732057
166,4.722322,12.876088
167,5.853845,12.151149
168,14.862242,2.155932
169,13.845248,1.959853
170,6.405107,7.443929
171,9.895608,0.465549
172,14.556276,2.544091
173,2.018956,6.407488
174,1.936694,6.141618
175,12.455382,2.285179
176,7.042665,19.218797
177,13.491093,13.800004
178,13.630743,13.472611
179,3.961957,11.719929
180,6.262619,7.592485
181,7.189320,7.306518
182,2.343306,12.526480
183,1.475882,14.197455
184,1.473889,2.193347
185,0.966903,2.213325
186,9.456008,8.502688
187,3.284138,7.304439
188,7.356542,7.888303
189,7.002788,7.464126
190,3.309445,11.594075
191,14.122881,13.526200
192,5.070883,18.607648
193,5.381297,18.273136
194,11.255254,9.909148
195,9.492399,18.952652
196,10.097929,19.208539
197,13.997806,13.917062
198,14.135418,13.277525
199,13.390738,10.960429
200,13.718796,10.966663
201,3.793826,12.607992
202,14.050923,12.842329
203,14.100865,13.516395
204,3.054825,12.197359
205,3.805331,12.216737
206,4.044769,12.580921
207,4.763681,12.510221
208,4.060266,6.680336
209,3.976966,6.260721
210,12.703688,3.872469
211,18.881440,10.634162
212,19.073674,11.292081
213,18.056284,12.256101
214,17.676485,12.576797
215,5.942133,14.646964
216,5.665969,14.643547
217,13.529249,9.747467
218,13.266672,10.165519
219,5.251577,13.306820
220,4.658642,9.933384
221,4.026836,11.106604
222,13.517215,13.810308
223,6.343311,2.286715
224,6.007648,12.453532
225,6.128882,2.743190
226,6.559020,4.329699
227,13.225373,7.180839
228,11.921421,1.671475
229,12.269214,5.868589
230,3.603886,8.786783
231,3.659959,8.632450
232,12.138803,0.034713
233,12.273515,0.125078
234,14.236079,5.907217
235,13.941758,4.778048
236,12.223634,9.713887
237,13.211081,6.207816
238,12.861142,6.169993
239,15.606869,12.067418
240,15.282185,11.167034
241,0.485319,6.333655
242,0.235483,5.948321
243,9.538872,17.147019
244,13.408652,3.724267
245,9.971509,17.125201
246,9.297305,16.984880
247,13.290578,4.291730
248,13.233804,3.859713
249,3.877375,16.501611
250,6.956657,4.217857
251,17.733532,14.109885
252,15.782806,2.224804
253,12.831923,5.718628
254,4.217976,12.995185
255,4.248398,12.445112
256,7.764363,15.023790
257,8.059124,14.766300
258,6.667961,12.684596
259,0.154612,0.541497
260,0.597722,0.523558
261,14.148965,14.582409
262,3.904154,11.202927
263,4.053838,11.459706
264,11.462083,10.193902
265,11.372755,9.379653
266,6.689706,13.647477
267,4.434921,12.550443
268,3.525926,12.476499
269,2.902574,7.506020
270,2.905543,7.464135
271,3.739084,6.014719
272,3.795584,5.883205
273,4.092080,16.006985
274,3.453166,13.348740
275,3.232542,13.060748
276,10.617472,8.788812
277,11.304668,9.180930
278,16.388594,10.380573
279,16.442415,10.363768
280,15.670646,10.848611
281,15.350870,10.789638
282,10.676548,9.381405
283,10.656034,9.194713
284,7.057397,7.617141
285,7.090342,7.658146
286,12.804848,5.916461
287,12.593495,5.617133
288,11.463677,0.025601
289,10.957868,0.106223
290,4.211184,15.572477
291,3.996050,15.678144
292,7.468539,18.968487
293,7.177286,19.107790
294,4.022248,12.287600
295,3.624566,12.831313
296,5.096912,13.054142
297,4.832553,13.397263
298,7.497162,15.218746
299,6.783594,4.320793
300,6.458852,4.411336
301,6.702855,13.002915
302,6.712781,12.853587
303,17.284389,14.189489
304,3.138177,6.656003
305,3.017668,6.635662
306,10.949953,0.434596
307,11.143127,0.564457
308,17.415510,14.187895
309,9.100633,8.661943
310,9.230704,8.433741
311,10.670756,9.978596
312,10.589370,10.191242
313,4.886670,18.954472
314,4.728407,18.704190
315,11.774366,1.769005
316,7.812840,15.247108
317,7.379073,15.221876
318,13.777892,7.415001
319,13.476070,6.997008
320,6.407729,12.457315
321,5.631762,12.089933
322,8.997195,8.189392
323,9.208524,8.101316
324,12.620616,-0.727182
325,12.536712,-0.923092
326,15.289623,5.381904
327,15.268868,5.358049
328,15.485849,12.275986
329,15.243870,11.964327
330,12.513741,14.875436
331,12.709195,15.157647
332,14.137654,2.700318
333,14.185237,2.827563
334,11.625831,1.835111
335,11.291714,1.706280
336,4.443346,12.478241
337,4.693376,12.618500
338,12.952672,13.329823
339,11.563909,1.486248
340,11.592427,1.520185
341,5.229922,6.208256
342,4.909775,6.389855
343,15.710793,1.704093
344,12.947714,13.436751
345,12.820238,13.388179
346,10.724401,7.896786
