obs_id,true_cell_id
0,2
1,3
2,4
3,5
4,6
5,7
6,8
7,9
8,11
9,12
10,13
11,16
12,18
13,19
14,21
15,23
16,24
17,25
18,26
19,27
20,29
21,30
22,32
23,33
24,34
25,35
26,36
27,37
28,38
29,39
30,40
31,41
32,42
33,45
34,47
35,48
36,49
37,51
38,52
39,53
40,54
41,55
42,56
43,58
44,59
45,60
46,61
47,63
48,64
49,65
50,66
51,67
52,68
53,71
54,72
55,73
56,74
57,75
58,76
59,77
60,80
61,83
62,84
63,85
64,86
65,87
66,88
67,89
68,90
69,91
70,92
71,94
72,96
73,97
74,98
75,100
76,101
77,103
78,104
79,105
80,106
81,107
82,108
83,109
84,110
85,111
86,112
87,113
88,114
89,115
90,116
91,118
92,119
93,122
94,124
95,125
96,126
97,127
98,128
99,129
100,130
101,132
102,133
103,134
104,135
105,136
106,137
107,138
108,139
109,141
110,142
111,144
112,145
113,146
114,148
115,149
116,150
117,151
118,152
119,153
120,154
121,156
122,157
123,158
124,159
125,160
126,161
127,162
128,163
129,164
130,165
131,166
132,167
133,168
134,169
