cell_id,parent_id,founder_id,birth_time,div_time,div_x,div_y
0,-1,0,0.000000,1.153546,8.451570,-0.799254
1,-1,1,0.000000,0.229484,11.203590,4.731271
2,-1,2,0.000000,0.977408,16.007312,10.563431
3,-1,3,0.000000,0.887345,14.666605,15.252397
4,-1,4,0.000000,0.061534,13.620092,3.896028
5,-1,5,0.000000,1.183205,6.453788,5.600103
6,-1,6,0.000000,0.890291,6.681740,11.248641
7,-1,7,0.000000,0.473258,1.711196,2.746875
8,-1,8,0.000000,1.378203,13.294520,16.482913
9,-1,9,0.000000,1.939853,19.210936,16.685252
10,-1,10,0.000000,0.676679,19.514584,4.278900
11,-1,11,0.000000,1.471755,4.204836,16.173656
12,-1,12,0.000000,0.793705,3.216389,10.419500
13,-1,13,0.000000,1.767698,6.670144,8.136339
14,-1,14,0.000000,,,
15,-1,15,0.000000,0.189979,11.678901,8.566502
16,-1,16,0.000000,1.064855,8.102908,5.107605
17,-1,17,0.000000,,,
18,-1,18,0.000000,0.411492,12.075602,8.966828
19,-1,19,0.000000,0.645864,7.087656,13.217269
20,-1,20,0.000000,1.910272,7.007459,1.519818
21,-1,21,0.000000,0.017597,18.493679,11.950087
22,-1,22,0.000000,0.675238,14.797261,8.323481
23,-1,23,0.000000,1.817596,15.818311,6.383314
24,-1,24,0.000000,0.657470,7.676755,11.320884
25,-1,25,0.000000,1.527811,14.885258,9.536510
26,-1,26,0.000000,,,
27,-1,27,0.000000,0.305614,0.705494,18.520892
28,-1,28,0.000000,1.595320,1.828274,9.794764
29,-1,29,0.000000,,,
30,-1,30,0.000000,0.510919,9.569420,20.230077
31,-1,31,0.000000,,,
32,-1,32,0.000000,0.381135,12.275166,14.296353
33,-1,33,0.000000,0.015546,10.364676,13.103594
34,-1,34,0.000000,,,
35,-1,35,0.000000,1.764529,6.793078,10.069144
36,-1,36,0.000000,0.195153,9.226139,8.643533
37,-1,37,0.000000,1.752597,10.849435,4.152572
38,-1,38,0.000000,1.357412,14.958605,13.244877
39,-1,39,0.000000,0.979245,8.319358,15.704809
40,-1,40,0.000000,0.382424,11.330032,4.731902
41,-1,41,0.000000,0.570561,9.030246,15.683622
42,-1,42,0.000000,1.154042,11.409863,16.708355
43,-1,43,0.000000,0.946998,4.603279,6.462285
44,-1,44,0.000000,0.871170,7.823828,2.296311
45,-1,45,0.000000,0.026642,12.630926,18.151155
46,-1,46,0.000000,1.061719,7.129563,10.147223
47,-1,47,0.000000,0.963716,9.375335,17.191301
48,-1,48,0.000000,0.948115,12.789409,12.074536
49,-1,49,0.000000,,,
50,-1,50,0.000000,0.686744,13.927343,20.128849
51,-1,51,0.000000,,,
52,-1,52,0.000000,0.315730,2.113596,1.516718
53,-1,53,0.000000,0.282275,8.042435,0.635390
54,-1,54,0.000000,1.252981,12.347155,6.916062
55,-1,55,0.000000,0.333344,13.388886,17.488777
56,-1,56,0.000000,,,
57,-1,57,0.000000,1.294493,17.558905,18.194134
58,-1,58,0.000000,0.236679,9.905686,19.860063
59,-1,59,0.000000,,,
60,-1,60,0.000000,0.147920,7.608599,4.918259
61,-1,61,0.000000,0.124509,1.497982,11.385596
62,-1,62,0.000000,,,
63,-1,63,0.000000,0.433486,14.209328,2.624486
64,-1,64,0.000000,0.759527,17.995216,18.362980
65,-1,65,0.000000,0.624102,15.091293,2.112077
66,-1,66,0.000000,0.203048,12.802848,10.629077
67,-1,67,0.000000,,,
68,-1,68,0.000000,1.433112,15.701164,2.246823
69,-1,69,0.000000,1.605581,1.972306,17.581333
70,-1,70,0.000000,0.796729,7.017518,17.897407
71,-1,71,0.000000,1.119290,5.062707,11.047314
72,-1,72,0.000000,0.467969,1.002012,4.659720
73,-1,73,0.000000,0.021567,17.782560,18.590228
