obs_id,true_cell_id
0,0
1,2
2,5
3,7
4,8
5,10
6,15
7,16
8,17
9,20
10,21
11,23
12,29
13,34
14,35
15,37
16,39
17,53
18,55
19,59
20,62
21,64
22,65
23,66
24,67
25,68
26,71
27,73
28,76
29,78
30,85
31,95
32,96
33,97
34,98
35,99
36,103
37,104
38,107
39,109
40,110
41,112
42,117
43,118
44,122
45,123
46,125
47,127
48,129
49,130
50,132
51,133
52,136
53,137
54,139
55,143
56,144
57,145
58,146
59,149
60,150
61,151
62,155
63,157
64,158
65,159
66,160
67,161
68,162
69,163
70,165
71,166
72,167
73,168
74,170
75,171
76,173
77,174
78,177
79,178
80,179
81,181
82,184
83,186
84,189
85,192
86,193
87,194
88,195
89,197
90,198
91,202
92,203
93,206
94,209
95,210
96,211
97,212
98,213
99,214
100,215
101,217
102,218
103,219
104,220
105,221
106,222
107,223
108,225
109,229
110,230
111,231
112,233
113,235
114,237
115,238
116,239
117,240
118,241
119,243
120,244
121,247
122,248
123,249
124,251
125,253
126,256
127,257
128,258
129,259
130,260
131,261
132,265
133,266
134,267
135,269
136,270
137,271
138,272
139,274
140,275
141,278
142,284
143,288
144,289
145,290
146,291
147,295
148,296
149,297
150,298
151,299
152,300
153,301
154,302
155,303
156,304
157,305
158,308
159,309
160,310
161,311
162,312
163,313
164,314
165,316
166,317
167,318
168,320
169,321
170,323
171,325
172,326
173,327
174,328
175,329
176,330
177,331
178,332
179,333
180,334
181,335
182,336
183,337
184,338
185,339
186,340
187,341
188,342
189,343
190,346
191,347
192,348
193,351
194,352
195,354
196,355
197,356
198,357
199,358
200,360
201,361
202,362
203,363
204,364
205,365
206,366
207,367
208,368
209,369
210,370
211,371
212,372
213,373
214,374
215,375
216,376
217,377
218,378
219,379
220,380
221,382
222,383
223,384
224,385
225,386
226,387
227,388
228,389
229,390
230,391
231,392
232,393
233,395
234,396
235,397
236,398
237,399
238,400
239,401
240,403
241,404
242,405
243,406
244,407
245,408
246,409
247,410
248,411
249,412
250,413
251,414
252,415
253,416
254,417
255,418
256,419
257,420
258,421
259,422
260,423
261,424
262,425
