obs_id,x,y
0,1.432495,0.956129
1,6.421087,12.756381
2,11.596829,13.892720
3,9.511364,11.967136
4,3.126845,7.251156
5,14.052019,6.869712
6,17.911391,15.626358
7,15.103525,9.303198
8,5.038356,13.990587
9,17.891891,5.652400
10,11.049959,19.355292
11,10.910150,15.431831
12,5.905770,5.647735
13,7.484961,4.191155
14,18.023160,1.882975
15,2.280816,14.049588
16,0.841560,0.240898
17,1.361454,15.440600
18,3.541363,17.349986
19,0.757096,3.353247
20,9.701436,9.652814
21,10.726048,16.885514
22,7.570742,10.966211
23,14.631864,8.331947
24,2.343805,17.386374
25,3.912456,15.757548
26,5.301957,7.525488
27,16.966738,2.022479
28,-0.692438,19.894624
29,14.444298,14.028947
30,12.087024,-0.983259
31,12.389043,0.905088
32,19.289712,2.077015
33,11.283154,2.564448
34,18.357038,12.927304
35,11.031171,12.847735
36,3.381859,18.504165
37,2.424818,17.137175
38,7.547181,2.195227
39,9.788014,15.857236
40,19.302013,2.984642
41,10.239887,4.290685
42,18.737569,8.199583
43,7.517884,9.907356
44,1.899148,2.016479
45,16.581667,16.525042
46,4.919036,11.283746
47,3.030637,3.448042
48,19.782278,16.966231
49,2.557816,13.792581
50,11.965669,17.167657
51,1.677383,13.277127
52,2.095995,13.875996
53,5.776843,1.298717
54,3.572931,3.705447
55,4.587281,4.856528
56,10.260390,15.733199
57,11.734465,13.340854
58,5.816358,1.108895
59,5.281810,19.272449
60,3.699564,4.417349
61,6.176286,1.114456
62,1.957128,0.009836
63,6.211738,4.837105
64,5.373135,5.842093
65,7.453183,5.121531
66,3.146580,3.377831
67,3.129974,3.128118
68,20.027470,3.575903
69,19.092418,4.824816
70,9.508771,5.428327
71,9.716935,20.215364
72,9.983812,20.282334
73,6.356586,2.979333
74,17.363336,6.764658
75,2.859311,14.556713
76,1.369242,15.413474
77,14.545054,1.399386
78,3.033220,3.885505
79,5.948932,12.184039
80,3.092299,2.728395
81,0.944811,11.941562
82,7.271970,13.101419
83,11.658837,11.274557
84,18.029899,17.790342
85,4.918650,1.880641
86,19.178070,13.972985
87,19.214616,14.151996
88,13.615878,4.553973
89,2.688396,6.092014
90,2.502153,6.893736
91,12.800755,11.391192
92,18.209847,18.881033
93,17.625683,19.068184
94,2.172890,5.870574
95,11.128843,2.722266
96,5.989416,0.561892
97,12.729293,14.716534
98,18.129686,2.519203
99,7.320050,5.933382
100,7.932437,6.114329
101,4.821770,15.331579
102,20.041243,13.847928
103,18.556546,14.731190
104,8.801053,15.592607
105,2.482964,-0.134227
106,16.657598,17.692637
107,17.533585,17.540671
108,18.420277,14.427065
109,17.997536,11.109429
110,17.131603,11.558416
111,3.733877,3.407060
112,3.713834,2.842818
113,4.248248,5.501395
114,6.406332,12.166182
115,6.531832,11.984344
116,12.200535,15.441472
117,7.907875,3.507975
118,19.641335,5.123788
119,7.372152,2.767756
120,10.027025,5.048875
121,1.403311,-0.247834
122,5.336124,10.978463
123,7.217674,11.358700
124,5.816872,12.240066
125,5.478116,11.866529
126,4.271351,0.029256
127,4.978576,0.049264
128,14.286691,3.628835
129,5.276427,8.360075
130,12.365149,9.782823
131,12.595621,10.414923
132,6.118462,8.161323
133,5.907521,7.653180
134,6.792273,13.199075
135,9.689094,15.736876
136,9.595406,16.169300
137,13.207950,14.277397
138,7.910530,10.912124
139,8.002345,9.996453
140,13.386500,3.027925
141,13.525935,17.822819
142,8.603901,16.238702
143,8.386217,15.762243
144,9.811200,15.956465
145,16.955134,4.168602
146,16.827629,4.100612
147,9.461159,15.512282
148,10.604150,1.383285
149,9.576032,1.540127
150,9.660125,16.281928
151,14.843120,14.325693
152,14.773637,14.048248
153,11.002742,7.570749
154,2.580958,6.284436
155,5.909585,1.386864
156,6.495427,1.817345
157,18.475202,21.184910
158,18.646083,20.911794
159,11.190739,6.480388
160,13.722824,2.004907
161,8.787086,15.655054
162,1.506846,0.500640
163,6.410973,12.493618
164,9.412302,16.754903
165,4.603038,10.744428
166,4.673070,10.557826
167,7.816280,3.387493
168,2.661502,2.448568
169,2.768530,2.391680
170,12.829273,11.070001
171,17.564319,14.632686
172,18.324306,14.173959
173,13.390505,18.178061
174,13.464904,18.097024
175,10.083307,16.207272
176,9.757885,15.863178
177,4.453134,10.519564
178,18.906729,2.655925
179,19.467711,2.902315
180,4.729768,0.738226
181,4.633149,0.772447
182,18.623244,5.921044
183,18.235495,5.731960
184,18.572657,18.783764
185,18.369604,19.055805
186,4.981675,10.216820
187,8.247847,3.131789
188,13.722864,3.572513
189,13.338269,2.881910
190,-0.687221,11.143830
191,-0.397730,11.925321
192,7.477137,3.568696
193,7.011670,3.505827
194,10.537158,13.548326
195,16.616118,6.224595
196,7.085234,12.289526
197,7.081412,11.847796
198,10.414096,13.269692
199,13.867402,15.240331
200,13.920711,15.792664
201,6.253233,11.969589
202,6.761864,10.908924
203,12.249878,18.793736
204,9.610926,16.466704
205,10.222885,15.811462
206,10.612194,6.307014
207,19.438190,16.119066
208,12.988620,15.468130
209,2.698988,3.888133
210,13.204951,15.524936
211,12.602874,14.307046
212,2.283659,4.742786
213,2.320535,4.883838
214,4.194010,10.639721
215,18.829106,19.007948
216,3.668157,2.405158
217,4.222517,2.449389
218,13.224241,2.689190
219,12.985947,2.623538
220,4.616716,5.661757
221,4.904725,5.646789
222,18.419825,13.713603
223,10.577345,13.474106
224,3.075222,3.199221
225,4.002276,2.337212
226,11.647723,6.782784
227,12.777574,18.366584
228,12.276156,18.386924
229,9.777426,5.732317
230,18.305731,18.742758
231,6.003229,3.259206
